irz,beta_s,beta_d,T_d
322.0,-3.046840772181379,1.6049215586250458,20.383203154089347
323.0,-3.007068029504522,1.5243232732921888,22.730324552895002
324.0,-3.0376088175065488,1.5697220236910518,20.013902042642812
325.0,-2.944727204689523,1.6117780626281457,18.716076818278044
326.0,-2.9825638738679627,1.605156490480054,19.630180854464037
327.0,-2.9899039038327495,1.5211196383197727,22.609351709619705
328.0,-2.963040619949945,1.5142144477509007,23.48930683353058
329.0,-2.93610641478542,1.5098054445327478,23.744141855251108
330.0,-2.887374921236001,1.5596923488354428,21.578951850023135
331.0,-2.8133596874410807,1.551117322949759,21.477248617910718
332.0,-3.0330362815897436,1.4636353348832003,25.321385339015883
333.0,-2.887239685916873,1.5150541270428275,22.810705835392046
334.0,-3.0092422292162,1.5359920958087252,21.407674228192224
335.0,-2.8787464179866484,1.589315655272225,19.981677857879237
336.0,-3.0485383157847794,1.5735416911142546,20.44958978293302
337.0,-2.989619379523308,1.5597553997748312,20.97566986071906
338.0,-2.981241088673986,1.5148871128604757,22.789573380082324
339.0,-2.9288327391403954,1.5924080709976753,19.71515266134267
340.0,-2.939624931813068,1.509846053788093,23.07692101226899
341.0,-2.954708394977856,1.5222376820070016,22.131788836517973
342.0,-2.9640731028426033,1.5501537023669967,22.629739247187786
343.0,-3.0520125266254152,1.546479441922058,21.88689009657506
344.0,-2.9632148685605255,1.485748006908441,24.80493822359727
345.0,-2.947092254067434,1.5133516355006433,23.143899494222282
346.0,-2.9906339361727596,1.4799042073530553,23.09649825287525
347.0,-2.843164891726366,1.545170660181177,22.63143124265101
348.0,-2.8920612245149493,1.5598893816957162,22.270148565758493
349.0,-2.9233446101128253,1.5527056245499242,22.172351826866702
350.0,-3.00150484163086,1.5792798124234864,20.244975927533762
351.0,-2.969961756481292,1.5263957890006896,23.044510411727863
352.0,-2.9738786767487184,1.5010509659932332,23.801492322961824
353.0,-3.0168564110739924,1.5554930267719806,21.190399151051814
354.0,-2.968775496291166,1.5250079745892162,21.98818124606641
355.0,-3.185452494799197,1.596643399867021,19.807223651361262
356.0,-2.9393600536875626,1.4952510603653009,23.818620216045304
357.0,-3.0065016372267532,1.617680951832969,17.599846291105074
358.0,-2.897464196354776,1.5077462104811312,25.057244647131
359.0,-2.9834131592146123,1.5097653781687008,22.639624031569575
360.0,-2.959156271458653,1.5429347564176554,23.45648013621698
361.0,-2.9847803315778543,1.5170695978705695,22.085953834541318
362.0,-3.03831551917465,1.536711013063407,20.723523666296675
363.0,-2.905937342306825,1.5240651761586073,23.166526434438143
364.0,-2.931571125565852,1.5577301794518221,20.946935167478465
365.0,-3.0665488508701824,1.5617178861403125,21.30964090070149
366.0,-3.038783812977404,1.5598754028982031,20.15664135722443
367.0,-2.887188044337237,1.5175210154845034,22.568798729525827
368.0,-2.9593636367606218,1.6023302780513307,19.45049557622154
369.0,-3.001372709503986,1.5526077511992575,21.781044098560763
370.0,-2.941827952851052,1.5071481447764032,22.70317678226067
371.0,-2.953039425933536,1.5795493990562435,20.18927189937826
372.0,-2.935634403568619,1.497801093510672,22.623649126169
373.0,-3.257339714038949,1.5947075065499725,19.608588142986353
374.0,-2.851568249906479,1.517878896726517,21.50525734608637
375.0,-2.8780066009852954,1.4844112585153246,23.6409730335508
376.0,-2.910293200928848,1.5137415347532255,23.626464493026596
377.0,-2.880039547517222,1.534677227587256,22.187371693897354
378.0,-3.0450986255838832,1.4981659900648663,24.944076069040733
379.0,-3.2290436621003558,1.5090333117358457,24.062085793501524
380.0,-2.849674792624903,1.525373522590928,21.747816627536924
381.0,-2.863232268317206,1.561148716568681,20.82960602806672
382.0,-2.8746936520594746,1.5281282357140973,21.684723381007963
383.0,-2.9228751916026106,1.5672875514929352,20.688890434123323
384.0,-3.0091390638064213,1.5285890558754531,21.634744299227314
385.0,-2.798857306237668,1.5541407151679167,21.584212278869735
386.0,-2.857124712482018,1.5130104301342762,23.686502341003596
387.0,-3.1076508215827183,1.5417265026166702,22.65079343498156
388.0,-2.981302124692887,1.526233057166378,22.45140799373845
389.0,-2.9197647990673112,1.526545017926424,21.79543954793766
390.0,-2.8998512980620235,1.5608262401903286,21.107593451799687
391.0,-2.8874788006887386,1.4921098161579895,23.442196987470084
392.0,-3.091026894230174,1.4976104798188423,22.105850108583844
393.0,-3.0158563344646603,1.4949601693604553,24.056461398614733
394.0,-3.080456571308731,1.585351983948812,20.109212024901794
395.0,-2.828443875681444,1.4996496315679597,22.95311647863919
396.0,-3.064712471162183,1.5571537819889407,22.513975683979325
397.0,-2.938371130728323,1.5198269893663956,22.264898307439328
398.0,-2.9625642880079894,1.4824657526101137,23.427895409946093
399.0,-2.8826028142190907,1.5236160853315615,21.41327205331862
